Book-name	Author	Publisher	Publish-time	ISBN	img-src	book-introduction	author-introduction	Score	commments	5-stars	4-stars	3-stars	2-stars	1-stars
城南旧事	林海音	人民文学出版社	2008-5	9787020066919	https://img1.doubanio.com/view/subject/l/public/s3053559.jpg	《城南旧事》是著名作家林海音女士的经典自传体小说，初版于1960年。她以超逸的文字风格，饶具魔力的文笔，透过英子童稚的双眼观看大人世界的喜怒哀乐、悲欢离合，淡淡的哀愁与沉沉的相思，感染了一代又一代读者。作者将英子眼中的北京城南风光适切地融入字里行间，在展现真实热闹的市民生活之余，更为读者架设一个明晰的时空背景。	林海音，中国现代著名女作家。原名林含英，小名英子，原籍台湾省苗栗县。5岁来到北京，在北京度过了她的童年与青年时期，北京也是她文学之路的起点。1948年，举家迁往台湾，在台湾她出版了众多文学佳作，被称为台湾文学的“祖母级人物”。其代表作《城南旧事》，是怀着对故乡——北京深深的眷恋写的。在小说中，作者透过主角英子童稚的双眼，向世人展现了大人世界的悲欢离合，有一种说不出来的天真，却道尽人世复杂的情感。	9.1 	10719	61.2%	33.1%	5.4%	0.3%	0.1%
苏菲的世界	[挪威]乔斯坦·贾德	作家出版社	2007-10	9787506341271	https://img3.doubanio.com/view/subject/l/public/s3042670.jpg	这本书以小说的形式，通过一名哲学导师向一个叫苏菲的女孩传授哲学知识的经过，揭示了西方哲学发展的历程。由前苏格拉底时代到萨特，以及亚里士多德、笛卡儿、黑格尔等人的思想都通过作者生动的笔触跃然纸上，并配以当时的历史背景加以解释，引人入胜。评论家认为，对于那些从未读过哲学课程的人而言，此书是最为合适的入门书，而对于那些以往读过一些哲学而已忘得一干二净的人士，也可起到温故知新的作用。	NULL	8.8 	29432	51.2%	37.8%	10.0%	0.8%	0.2%
爱你就像爱生命	李银河	上海锦绣文章出版社	2008-5	9787806859988	https://img3.doubanio.com/view/subject/l/public/s4661043.jpg	王小波书信均选自朝华出版社2004年4月第一版《爱你就像爱生命》，此书系王小波生前从未发表过的与李银河的“两地书”，也是迄今他们夫妇最完整和独立的一本书信集。	王小波，1952年出生。一个特立独行的作家。他的作品被誉为“中国当代文坛最美的收获”。自1997年4月11日去世后，他的作品被人们广泛阅读、关注、讨论，并引发了“王小波热”的文化现象。	8.8 	69704	52.6%	37.1%	9.5%	0.6%	0.1%
罗马阳台 世间的每一个清晨	[法]帕斯卡·基尼亚尔	广西师范大学出版社	2019-9	9787559819628	https://img3.doubanio.com/view/subject/l/public/s33510542.jpg	在一个阳台上，在罗马，在黄昏中	帕斯卡·基尼亚尔（1948— ），法国作家，对哲学、历史、艺术均有深入研究，1966年开始创作，著有大量小说、评论和随笔。创作于1991年的小说《世间的每一个清晨》被改编成经典电影《日出时让悲伤终结》。2000年凭小说《罗马阳台》获法兰西学士院小说大奖。2002年起陆续出版小说《最后的王国》系列，其中第一部《游荡的幽灵》获龚古尔文学奖。	8.5 	37	37.8%	51.4%	10.8%	0.0%	0.0%
复活	[俄]列夫·托尔斯泰	人民文学出版社	1979年03月	9787020022335	https://img9.doubanio.com/view/subject/l/public/s1204746.jpg	长篇小说《复活》(1889～1899)是托尔斯泰晚年的代表作，情节的基础是真实的案件。贵族青年聂赫留道夫诱□姑母家中养女、农家姑娘卡秋莎·玛斯洛娃，导致她沦为妓女；而当她被诬为谋财害命时，他却以陪审员身份出席法庭审判她。这看似巧合的事件，在当时社会却有典型意义。小说一方面表现作者晚年代表性主题──精神觉醒和离家出走；主要方面则是借聂赫留道夫的经历和见闻，展示从城市到农村的社会阴暗面，对政府、法庭、监狱、教会、土地私有制和资本主义制度作了深刻的批判。不过，作品的后面部分，渐渐突出了不以暴力抗恶和自我修身的说教。托尔斯泰的力量和弱点，在这里得到最集中最鲜明的表现。	NULL	8.1 	18461	31.6%	46.6%	20.2%	1.4%	0.2%
奇迹男孩	[美]R.J.帕拉西奥	人民文学出版社	2018-1	9787020126767	https://img3.doubanio.com/view/subject/l/public/s33475945.jpg	NULL	NULL	8.8 	3892	55.8%	36.7%	7.0%	0.4%	0.1%
在路上	[美]杰克·凯鲁亚克	上海译文出版社	2006-10	9787532740260	https://img1.doubanio.com/view/subject/l/public/s2577057.jpg	青年学生萨尔为追求个性自由，与狄安（以卡萨迪为原型）、玛丽露等一伙男女开车横穿全美，一路狂喝滥饮，耽迷酒色，流浪吸毒，性放纵，在经过精疲力竭的漫长放荡后，开始笃信东方禅宗，感悟到生命的意义。小说主人公及其伙伴沿途搭车或开车，几次横越美国大陆，最终到了墨西哥。	NULL	7.8 	43038	26.6%	43.3%	26.2%	3.2%	0.7%
焦渴	[挪]尤·奈斯博	博集天卷 | 湖南文艺出版社	2019-6	9787540491055	https://img3.doubanio.com/view/subject/l/public/s33469064.jpg	NULL	NULL	7.9 	530	28.9%	52.3%	16.8%	1.7%	0.4%
明朝那些事儿（叁）	当年明月	中国友谊出版公司	2007-4	9787505723269	https://img3.doubanio.com/view/subject/l/public/s2544553.jpg	从明英宗朱祁镇成功复辟的“夺门之变”后写起，叙述了忠奸不分的朱祁镇听信谗言，杀害曾救其于危难之际的大功臣于谦，而这也成为他继“土木堡之变”后在历史上留下的又一大污点，而在他病逝后，相继继位的两位皇帝宪宗和孝宗，一个懦弱不堪无所作为，一个心有余而力不足，撂下的这副重担落在了明代三百年中最能闹的一个皇帝——朱厚照身上，宠八虎，建豹房，自封威武大将军，朝廷中充斥着一幕幕荒唐的闹剧，局势更是动荡不安，这时便引起了一位亘古罕有的文武奇才——王守仁，他清剿盗寇，平定叛王，勇斗奸宦，给后人留下了许多近乎神话的不朽传奇。	当年明月，青年历史学者，畅销书作家。专业职称为副研究员，明史学会会员。是心灵历史的开创者，担任国内多家电视台文史类节目主讲人。所著作品《明朝那些事儿》销量过五百万册，为三十年来最畅销之史学读本。	8.9 	41998	55.4%	37.0%	7.2%	0.3%	0.1%
鬼吹灯之云南虫谷	天下霸唱	安徽文艺出版社	2006-11	9787539628318	https://img1.doubanio.com/view/subject/l/public/s6063257.jpg	传闻救人性命的雮尘珠成了古滇国献王的陪葬品，摸金校尉深入瘴疠之地，再探古墓奇险。	天下霸唱，原名张牧野，生于七十年代，天津人氏，其作品《鬼吹灯》系列风靡华语世界。	8.0 	31532	31.7%	46.4%	20.2%	1.4%	0.3%
他来了，请闭眼	丁墨	百花洲文艺出版社	2014-7-1	9787550009899	https://img1.doubanio.com/view/subject/l/public/s27310857.jpg	当你拥有了一个聪明、傲娇又忠犬的男友……	丁墨：	7.1 	13561	24.7%	37.1%	29.6%	6.5%	2.1%
超新星纪元	刘慈欣	重庆出版社	2009	9787229004767	https://img1.doubanio.com/view/subject/l/public/s3700467.jpg	在一个看似平常的夏夜，酝酿了上亿年的灾难从宇宙深处到达地球，世界上将只剩下孩子。怪异而血腥的游戏在都市近郊的山谷中展开，孩子国家领袖在游戏中诞生……最后的时光在大学习中转瞬即逝，当黑屏上的最后一点绿光消逝，地球上最后一个大人死去，公元世纪终结了……	六十年代生人，祖籍河南，山西阳泉长大，高级工程师，现在山西娘子关电厂工作。上世纪九十年代末开始发表作品，第一篇发表作品为短篇小说《鲸歌》。目前为中国科普作家协会会员，被誉为中国科幻的领军人物。刘慈欣成功地将极端的空灵和厚重的现实结合起来，同时注重表现科学的内涵和美感，努力创造出一种具有中国特色的科幻文学样式。其作品因宏伟大气、想象绚丽而获得广泛赞誉，已蝉联五届中国科幻银河奖。	7.5 	10273	24.3%	41.7%	28.8%	4.4%	0.7%
