Book-name	Author	Publisher	Publish-time	ISBN	img-src	book-introduction	author-introduction	Score	commments	5-stars	4-stars	3-stars	2-stars	1-stars
深入理解Apache Dubbo与实战	诣极	电子工业出版社	2019-7	9787121366345	https://img3.doubanio.com/view/subject/l/public/s33315941.jpg	NULL	商宗海，花名诣极，Apache Dubbo PMC。曾就职于阿里巴巴、有赞，担任Dubbo框架技术负责人，长期活跃在Dubbo社区。现就职于蚂蚁金服中间件团队，负责sofa-rpc和云原生方向的产品研发。	7.4 	12	25.0%	41.7%	16.7%	16.7%	0.0%
C程序设计	谭浩强	清华大学出版社	2005-7-1	9787302108535	https://img1.doubanio.com/view/subject/l/public/s1512029.jpg	《C程序设计(第3版)》作者具有丰富的教学经验和编写教材的经验，并针对初学者的特点，精心策划、准确定位，使得《C程序设计(第3版)》概念清晰、例题丰富、深入浅出，受到专家和读者的一致好评。《C程序设计(第3版)》被普遍认为是学习C语言的好教材，并被全国大多数高校选用。十多年来《C程序设计(第3版)》累计发行了800多万册，刨同类书的全国最高记录，是学习C语言的主流用书。《C程序设计(第3版)》曾荣获原电子工业部优秀教材一等奖、高校出版社优秀畅销书特等奖、全国高等院校计算机基础教育研究会优秀教材一等奖。	NULL	7.0 	1477	20.9%	33.4%	28.5%	7.6%	9.6%
R数据科学	[新西兰]哈德利?威克姆	人民邮电出版社	2018-7	9787115486394	https://img1.doubanio.com/view/subject/l/public/s29822899.jpg	本书的目标是教会读者使用最重要的数据科学工具，从而为实施数据科学奠定坚实的基础。读完本书后，你将掌握R语言的精华，并能够熟练使用多种工具来解决各种数据科学难题。每一章都按照这样的顺序组织内容：先给出一些引人入胜的示例，以便你可以整体了解这一章的内容，然后再深入细节。本书的每一节都配有习题，以帮助你实践所学到的知识。	作者简介：	9.6 	33	75.8%	24.2%	0.0%	0.0%	0.0%
面向对象葵花宝典：思想、技巧与实践	李运华编著	电子工业出版社	2015-12	9787121274732	https://img3.doubanio.com/view/subject/l/public/s28350224.jpg	NULL	NULL	7.7 	37	29.7%	43.2%	24.3%	2.7%	0.0%
穿越计算机的迷雾	李忠	电子工业出版社	2011-1	9787121124273	https://img3.doubanio.com/view/subject/l/public/s6263451.jpg	《穿越计算机的迷雾》从最基本的电学知识开始，带领读者一步一步、从无到有地制造一台能全自动工作的计算机。在这个过程中，读者可以学习到大量有趣的电学、数学和逻辑学知识，了解到它们是如何为电子计算机的产生创造条件，并促使它不断向着更快、更小、更强的方向发展。通过阅读《穿越计算机的迷雾》，读者可以很容易地理解自动计算实际上是如何发生的，而现代的计算机又是怎么工作的。以此为基础，在《穿越计算机的迷雾》的后面集中介绍了现代计算机的组成和主要功能，以及计算机核心与外部设备的接口，并对以操作系统为核心的软件进行了介绍。未经许可，不得以任何方式复制或抄袭《穿越计算机的迷雾》之部分或全部内容。	NULL	8.9 	347	59.1%	30.0%	9.5%	0.9%	0.6%
测试驱动开发	KentBeck	中国电力出版社	2004-4-1	9787508321738	https://img1.doubanio.com/view/subject/l/public/s1441607.jpg	《测试驱动开发》(中文版)设想把编程看成是转动曲柄从井里提一桶水上来的过程。如果水桶比较小，那么仅需一个能自由转动的曲柄就可以了。如果水桶比较大而且装满水，那么还没等水桶全部被提上来你就会很累了。你需要一个防倒转的装置，以保证每转一次可以休息一会儿。水桶越重，防倒转的棘齿相距越近。测试驱动开发中的测试程序就是防倒转装置上的棘齿。一旦我们的某个测试程序能工作了，你就知道，它从现在开始并且以后永远都可以工作了。相比于测试程序没有通过，你距离让所有的测试程序都工作又近了一步。现在我们的工作是让下一个测试程序工作，然后再下一个，就这样一直进行。分析表明，要编程解决的问题越难，每次测试所覆盖的范围就应该越小。	NULL	8.2 	496	35.3%	43.1%	19.6%	1.4%	0.6%
SQL反模式	[美]BillKarwin	人民邮电出版社	2011-9	9787115261274	https://img1.doubanio.com/view/subject/l/public/s8846357.jpg	《SQL反模式》是一本广受好评的SQL图书。它介绍了如何避免在SQL的使用和开发中陷入一些常见却经常被忽略的误区。它通过讲述各种具体的案例，以及开发人员和使用人员在面对这些案例时经常采用的错误解决方案，来介绍如何识别、利用这些陷阱，以及面对问题时正确的解决手段。另外，《SQL反模式》还涉及了SQL的各级范式和针对它们的正确理解。	"Bill Karwin作为软件工程师、咨询师和管理者，他在20年间开发并支持了各种各样的应用、程序库以及服务器，如PHP 5的Zend Framework, Interbase关系型数据库，以及Enhydra Java应用服务器等。他一直无私地分享他的专业知识，来帮助其他程序员提高效率、获得成功。他曾以各种方式回答了上千个关于SQL的疑问，其中不乏一些 严重但又经常被忽略的问题。"	8.4 	242	42.6%	43.0%	14.0%	0.4%	0.0%
代码大全	迈克康奈尔	电子工业出版社	2006-12	9787121033629	https://img3.doubanio.com/view/subject/l/public/s3060760.jpg	《代码大全(第2版)(英文版)》由电子工业出版社出版。	史蒂夫·迈克康奈尔（Steve McConnell）被公认为软件开发社区中的首要作者和发言人之一。他是Construx Software公司的首席软件工程师。他所编著的图书包括曾被《软件开发》杂志授予优异产品震撼大奖的《代码大全》和《快速软件开发》，以及《软件项目生存指南》和《专业软件开发》等等。	9.3 	366	71.3%	23.2%	4.6%	0.3%	0.5%
"""笨办法""学Python"	[爱尔兰]肖	人民邮电出版社	2014-11-1	9787115350541	https://img1.doubanio.com/view/subject/l/public/s27836847.jpg	NULL	Zed A.Shaw是一位狂热的吉他手、程序员和编程书作家。他的这本书在全世界有数百万的读者。他写的软件大大小小的公司都在使用。他的文章经常被众多极客圈里的人阅读和引用。他是一名活跃而有趣的作家，他会让你大笑，也会让你思考。	7.9 	613	25.4%	46.8%	22.7%	2.8%	2.3%
Windows黑客编程技术详解	甘迪文	人民邮电出版社	2018-12	9787115499240	https://img1.doubanio.com/view/subject/l/public/s29980039.jpg	《Windows黑客编程技术详解》介绍的是黑客编程的基础技术，涉及用户层下的Windows编程和内核层下的Rootkit编程。本书分为用户篇和内核篇两部分，用户篇包括11章，配套49个示例程序源码；内核篇包括7章，配套28个示例程序源码。本书介绍的每个技术都有详细的实现原理，以及对应的示例代码（配套代码均支持32位和64位Windows 7、Windows 8.1及Windows 10系统），旨在帮助初学者建立起黑客编程技术的基础。	甘迪文，北京邮电大学网络空间安全学院在读研究生，2019年秋季即将步入清华大学攻读软件工程专业的博士学位，Write-Bug技术共享平台（www.write-bug.com）创始人。对信息安全领域兴趣颇深，常利用课余时间自学和钻研安全开发技术。擅长Windows系统安全程序开发，熟悉Windows内核编程，闲来无事之时喜欢开发功能各异的小软件。	NULL	NULL	NULL	NULL	NULL	NULL	NULL
